date,excessya
1996-09-30,0.5843105724142892
1996-10-31,0.2596885555361715
1996-11-29,0.8000481859724892
1996-12-31,-0.3110072466067167
1997-01-31,0.6641763473422178
1997-02-28,0.020291703273992844
1997-03-31,-0.5740851694269045
1997-04-30,0.6298433005989357
1997-05-30,0.6328873325173031
1997-06-30,0.4602647771308062
1997-07-31,0.851972167972057
1997-08-29,-0.7604605558246222
1997-09-30,0.5726076318525395
1997-10-31,-0.4713780667899426
1997-11-28,0.47219040975862747
1997-12-31,0.13557493414850577
1998-01-30,0.07096670788555773
1998-02-27,0.7654987922910265
1998-03-31,0.5348304952693375
1998-04-30,0.06017718617749413
1998-05-29,-0.2766726157462646
1998-06-30,0.4149586597264763
1998-07-31,-0.1893648783636534
1998-08-31,-1.9381215197224764
1998-09-30,0.6841282076646162
1998-10-30,0.8846355631915109
1998-11-30,0.6456758505187947
1998-12-31,0.6147501826175189
1999-01-29,0.43889462179927935
1999-02-26,-0.4391392694569844
1999-03-31,0.41318206650332445
1999-04-30,0.4027509450550672
1999-05-28,-0.34850260553655615
1999-06-30,0.5897817494901724
1999-07-30,-0.4368376565720871
1999-08-31,-0.12304995649294861
1999-09-30,-0.3945328852496807
1999-10-29,0.6786935227227316
1999-11-30,0.17540923306711828
1999-12-31,0.6228916844164063
2000-01-31,-0.6817571607500117
2000-02-29,-0.2994691038363574
2000-03-31,1.0513348533266407
2000-04-28,-0.43152513682519744
2000-05-31,-0.3202027959561786
2000-06-30,0.2271999274785563
2000-07-31,-0.25757403377755994
2000-08-31,0.6464557373262361
2000-09-29,-0.7193519669728136
2000-10-31,-0.12053074624503886
2000-11-30,-1.0612400552749164
2000-12-29,-0.008257302775892546
2001-01-31,0.36021421497111455
2001-02-28,-1.2091474824601092
2001-03-30,-0.8381244071040829
2001-04-30,0.8501785729502117
2001-05-31,0.025531253147605626
2001-06-29,-0.33950184766179226
2001-07-31,-0.16454746481539745
2001-08-31,-0.827934283976054
2001-09-28,-1.0462166691088755
2001-10-31,0.19519498123066198
2001-11-30,0.8521366701219479
2001-12-31,0.07357150606951349
2002-01-31,-0.20578460906671145
2002-02-28,-0.26921675189661387
2002-03-28,0.4152863322690034
2002-04-30,-0.7779724310024602
2002-05-31,-0.1265451186232236
2002-06-28,-0.919421923898395
2002-07-31,-1.0042535304114026
2002-08-30,0.0419044729263131
2002-09-30,-1.4138775330712738
2002-10-31,0.9805865037780966
2002-11-29,0.6538998437214394
2002-12-31,-0.7586173568475587
2003-01-31,-0.34518251565673763
2003-02-28,-0.2177884577321769
2003-03-31,0.08892426635067076
2003-04-30,0.9240705909749808
2003-05-30,0.584695895500025
2003-06-30,0.12615743976014682
2003-07-31,0.1837799204714013
2003-08-29,0.20275807400832774
2003-09-30,-0.15351166601777613
2003-10-31,0.6327617807616243
2003-11-28,0.0760500048088225
2003-12-31,0.5849262198096907
2004-01-30,0.19649814282757397
2004-02-27,0.1362249896891002
2004-03-31,-0.2072268547858532
2004-04-30,-0.2128000038975089
2004-05-28,0.13347329355559667
2004-06-30,0.2014106769821065
2004-07-30,-0.43293229994224197
2004-08-31,0.011588112935127605
2004-09-30,0.09499468579152953
2004-10-29,0.1481996771219152
2004-11-30,0.4324530118361849
2004-12-31,0.36133734539778256
2005-01-31,-0.3316936946163986
2005-02-28,0.19769888416873221
2005-03-31,-0.25893438856224094
2005-04-29,-0.2722547578018611
2005-05-31,0.32493603346961153
2005-06-30,-0.03216357382211061
2005-07-29,0.3907427526445358
2005-08-31,-0.1697588051912109
2005-09-30,0.048374137881858265
2005-10-31,-0.2533838644005934
2005-11-30,0.3763967713335257
2005-12-30,-0.051232753062295626
2006-01-31,0.25828087191219384
2006-02-28,-0.03950915613110493
2006-03-31,0.08728675516193196
2006-04-28,0.09910157381552373
2006-05-31,-0.4238835708265128
2006-06-30,-0.047294179171705225
2006-07-31,0.011473983374531052
2006-08-31,0.20385345556539788
2006-09-29,0.24382050453552218
2006-10-31,0.32308262382828207
2006-11-30,0.14721327341930027
2006-12-29,0.10176461562532141
2007-01-31,0.11806406612776245
2007-02-28,-0.314771205778055
2007-03-30,0.07038822059410751
2007-04-30,0.46094470718627073
2007-05-31,0.3385209938838792
2007-06-29,-0.26224716327923125
2007-07-31,-0.4379137013188189
2007-08-31,0.1130390644922647
2007-09-28,0.3849251604466872
2007-10-31,0.1383762079738816
2007-11-30,-0.5713754434904326
2007-12-31,-0.1357397089704922
2008-01-31,-0.7764870653073064
2008-02-29,-0.4426803939418642
2008-03-31,-0.08474851912862112
2008-04-30,0.5436965083219574
2008-05-30,0.1087833101256841
2008-06-30,-1.0957217504816466
2008-07-31,-0.1354201065838163
2008-08-29,0.12838179508733943
2008-09-30,-1.1488381428000969
2008-10-31,-2.231997144878141
2008-11-28,-0.9338838707278702
2008-12-31,0.09238398779616012
2009-01-30,-1.0769998581406435
2009-02-27,-1.4000078000299576
2009-03-31,0.9814120228973278
2009-04-30,1.0759989916714199
2009-05-29,0.6193244372960931
2009-06-30,0.0005026958475155467
2009-07-31,0.8564933191353082
2009-08-31,0.39474180327349734
2009-09-30,0.42008198957329773
2009-10-30,-0.23997472783688137
2009-11-30,0.6688413746913505
2009-12-31,0.21082178073598615
2010-01-29,-0.4528586222996927
2010-02-26,0.33621504412892567
2010-03-31,0.6840689925373888
2010-04-30,0.17424315190461578
2010-05-28,-1.027951537571543
2010-06-30,-0.6663782853490822
2010-07-30,0.7967725906620732
2010-08-31,-0.5845050164644918
2010-09-30,1.0055699511896272
2010-10-29,0.4331512292686893
2010-11-30,-0.029183387992018445
2010-12-31,0.7578612858612913
2011-01-31,0.26730195420506475
2011-02-28,0.37611595685318566
2011-03-31,-0.013508099845088894
2011-04-29,0.33675332987634105
2011-05-31,-0.16362245648388973
2011-06-30,-0.22127288622805355
2011-07-29,-0.2614325713818114
2011-08-31,-0.7017100392058737
2011-09-30,-0.893808125330784
2011-10-31,1.2276533375547631
2011-11-30,-0.06086208109262864
2011-12-30,0.10186021155776531
2012-01-31,0.511362289188071
2012-02-29,0.47668258707669225
2012-03-30,0.36950451501615716
2012-04-30,-0.09121510845339569
2012-05-31,-0.7770540744682175
2012-06-29,0.4646766486541204
2012-07-31,0.14924348740249585
2012-08-31,0.2339814420504943
2012-09-28,0.28645143894197567
2012-10-31,-0.24096390569572118
2012-11-30,0.03335526039684176
2012-12-31,0.08406149412986848
2013-01-31,0.589637534507354
2013-02-28,0.13093913568603796
2013-03-28,0.42350652905136593
2013-04-30,0.2145605409659691
2013-05-31,0.24624982843959098
2013-06-28,-0.18170628498579844
2013-07-31,0.5789770085087759
2013-08-30,-0.3818070807004692
2013-09-30,0.35162892385682015
2013-10-31,0.5232076793735224
2013-11-29,0.33134578090780425
2013-12-31,0.2787919319743085
2014-01-31,-0.4349301384183878
2014-02-28,0.5060533057193703
2014-03-31,0.08259287802337226
2014-04-30,0.07387810158401763
2014-05-30,0.2494389283674012
2014-06-30,0.2263159487596451
2014-07-31,-0.18256641814011046
2014-08-29,0.4433068662212173
2014-09-30,-0.18772860232693253
2014-10-31,0.2751299979631911
2014-11-28,0.290753115465653
2014-12-31,-0.050779075667835995
2015-01-30,-0.37844644956967677
2015-02-27,0.6411706944690603
2015-03-31,-0.21086785164565
2015-04-30,0.10176812059732483
2015-05-29,0.12518552228604982
2015-06-30,-0.2550588328810995
2015-07-31,0.23396232007224213
2015-08-31,-0.7755244457314243
2015-09-30,-0.3213840696969541
2015-10-30,0.9558710498399459
2015-11-30,0.004411932926054734
2015-12-31,-0.21399877387170335
2016-01-29,-0.6279466780972363
2016-02-29,-0.05282839803356074
2016-03-31,0.7648576677215468
2016-04-29,0.030216908496195682
2016-05-31,0.17921070381451526
2016-06-30,0.008233570616176241
2016-07-29,0.4173551941139182
2016-08-31,-0.01795329427410757
2016-09-30,-0.01760241523086818
2016-10-31,-0.2384441242004832
2016-11-30,0.39840390544722104
2016-12-30,0.21148934916441323
2017-01-31,0.20755065004881093
2017-02-28,0.43215409618643746
2017-03-31,-0.012175781726686643
2017-04-28,0.10068902314955118
2017-05-31,0.12844118000139898
2017-06-30,0.04752899432789036
2017-07-31,0.21926673506960795
2017-08-31,-0.003323906532316386
2017-09-29,0.21897619307707925
2017-10-31,0.2519618922552828
2017-11-30,0.31983748912441445
2017-12-29,0.10368990260611848
2018-01-31,0.6414213023644878
2018-02-28,-0.49202275697379294
2018-03-29,-0.3439116493459826
2018-04-30,0.014556045590979744
2018-05-31,0.23775792280223065
2018-06-29,0.039037965240795586
2018-07-31,0.40463399700525216
2018-08-31,0.33704546498117427
2018-09-28,0.02969597484484028
2018-10-31,-0.8860920812259777
2018-11-30,0.18919971211249362
2018-12-31,-1.1784487265828707
2019-01-31,0.8853597040133122
2019-02-28,0.327558064909959
2019-03-29,0.18966712306780578
2019-04-30,0.43885207534867055
2019-05-31,-0.8396116461951632
2019-06-28,0.7792987139457409
2019-07-31,0.13648488219374783
2019-08-30,-0.23861789055171992
2019-09-30,0.18649636595664865
2019-10-31,0.22744012364440544
2019-11-29,0.3861646807716765
2019-12-31,0.32296880685787344
